Date,Mean Temp.,Max.Temp.(Monthly Mean),Min.Temp.(Monthly Mean),Precip.,Mean Temp. Normal,Precip. Normal,SPI 3-Month,SPI 6-Month,SPI 12-Month,City,City_Lat,City_Lon
2023-05-01,19.0,24.0,14.6,159,18.8,139.7,0.21,-0.31,-0.26,tokyo,35.69,139.75
2023-05-01,24.3,26.8,22.3,101,24.2,245.3,-0.68,-0.49,0.73,naha,26.2,127.68
2023-05-01,20.2,24.5,16.6,246,19.9,133.7,1.29,1.0,-0.32,fukuoka,33.57,130.37
2023-05-01,23.6,25.7,21.8,209,23.4,151.9,1.23,1.56,1.38,chichijima,27.08,142.18
2023-05-01,13.8,19.2,9.4,22,13.0,55.5,-1.73,-0.99,-0.76,sapporo,43.05,141.32
2023-06-01,24.4,28.3,21.5,169,23.3,249.6,0.44,0.37,-0.22,fukuoka,33.57,130.37
2023-06-01,19.3,24.2,15.2,134,17.0,60.4,0.7,-0.36,-0.3,sapporo,43.05,141.32
2023-06-01,27.0,29.4,25.1,90,26.2,111.8,1.14,0.78,1.48,chichijima,27.08,142.18
2023-06-01,23.2,27.6,19.6,347,21.9,167.8,1.2,0.88,0.78,tokyo,35.69,139.75
2023-06-01,27.2,29.7,25.7,401,27.2,284.4,0.25,-0.3,0.54,naha,26.2,127.68
2023-07-01,29.6,32.8,27.4,92,29.1,188.1,-0.28,-0.39,0.32,naha,26.2,127.68
2023-07-01,28.2,31.3,26.0,36,27.7,79.5,0.04,0.77,1.04,chichijima,27.08,142.18
2023-07-01,28.9,32.9,25.8,537,27.4,299.1,1.08,1.11,1.0,fukuoka,33.57,130.37
2023-07-01,28.7,33.9,24.7,30,25.7,156.2,0.67,0.39,0.07,tokyo,35.69,139.75
2023-07-01,23.8,27.8,20.7,62,21.1,90.7,0.34,-0.11,-0.31,sapporo,43.05,141.32
2023-08-01,26.7,30.9,23.7,70,22.3,126.8,-0.02,-0.74,-1.32,sapporo,43.05,141.32
2023-08-01,28.4,30.8,26.7,251,28.0,123.3,0.52,1.23,1.53,chichijima,27.08,142.18
2023-08-01,29.7,33.9,26.9,164,28.4,210.0,0.58,0.93,0.73,fukuoka,33.57,130.37
2023-08-01,29.2,34.3,26.1,133,26.9,154.7,0.38,0.35,0.17,tokyo,35.69,139.75
2023-08-01,28.6,31.4,26.6,739,29.0,240.0,1.75,1.02,1.53,naha,26.2,127.68
2023-09-01,21.5,25.5,17.9,146,18.6,142.2,-0.59,-0.24,-0.92,sapporo,43.05,141.32
2023-09-01,28.4,31.1,26.2,55,27.7,144.2,0.18,0.91,1.09,chichijima,27.08,142.18
2023-09-01,26.9,30.7,24.1,105,24.7,175.1,0.67,0.72,0.37,fukuoka,33.57,130.37
2023-09-01,26.7,31.2,23.6,229,23.3,224.9,-0.48,0.27,-0.11,tokyo,35.69,139.75
2023-09-01,28.7,31.8,26.4,205,27.9,275.2,1.36,1.09,1.1,naha,26.2,127.68
2023-10-01,25.9,28.4,23.5,235,26.4,141.7,0.99,0.62,1.16,chichijima,27.08,142.18
2023-10-01,26.0,28.8,23.7,81,25.5,179.2,1.43,0.75,0.88,naha,26.2,127.68
2023-10-01,18.9,23.7,14.7,147,18.0,234.8,-0.14,0.21,-0.03,tokyo,35.69,139.75
2023-10-01,13.3,17.9,9.3,89,12.1,109.9,-0.68,-0.47,-0.92,sapporo,43.05,141.32
2023-10-01,19.8,24.3,16.1,23,19.6,94.5,-1.01,0.37,0.25,fukuoka,33.57,130.37
2023-11-01,14.4,19.2,10.3,42,12.5,96.3,-0.4,-0.12,-0.29,tokyo,35.69,139.75
2023-11-01,23.7,26.1,21.4,100,23.8,136.1,-0.06,0.25,1.17,chichijima,27.08,142.18
2023-11-01,6.7,10.3,2.9,127,5.2,113.8,0.13,0.0,-0.57,sapporo,43.05,141.32
2023-11-01,22.6,25.2,20.1,57,22.5,119.1,-0.77,1.01,0.5,naha,26.2,127.68
2023-11-01,15.1,19.5,11.2,52,14.2,91.4,-1.79,-0.05,0.3,fukuoka,33.57,130.37
2023-12-01,-0.7,2.2,-3.7,47,-0.9,114.5,-0.89,-1.04,-1.09,sapporo,43.05,141.32
2023-12-01,19.7,22.2,17.2,183,19.0,110.0,-0.38,0.95,0.41,naha,26.2,127.68
2023-12-01,9.4,14.3,5.2,20,7.7,57.9,-0.89,-1.14,-0.44,tokyo,35.69,139.75
2023-12-01,20.9,23.3,18.4,56,20.6,103.3,0.1,0.1,0.53,chichijima,27.08,142.18
2023-12-01,9.9,13.5,6.8,45,9.1,67.5,-1.65,0.21,0.32,fukuoka,33.57,130.37
2024-01-01,7.1,11.8,2.9,36,5.4,59.7,-1.44,-0.63,-0.33,tokyo,35.69,139.75
2024-01-01,-1.8,1.1,-4.9,154,-3.2,108.4,0.09,-0.57,-0.58,sapporo,43.05,141.32
2024-01-01,18.5,21.2,15.6,24,18.5,63.6,-1.19,0.18,0.6,chichijima,27.08,142.18
2024-01-01,8.3,11.6,5.0,81,6.9,74.4,-0.61,-1.15,0.3,fukuoka,33.57,130.37
2024-01-01,17.9,20.7,15.3,43,17.3,101.6,-0.41,1.13,0.41,naha,26.2,127.68
2024-02-01,8.0,12.5,4.1,79,6.1,56.5,-0.35,-0.53,-0.17,tokyo,35.69,139.75
2024-02-01,-1.9,1.5,-5.1,117,-2.7,91.9,0.17,0.13,-0.53,sapporo,43.05,141.32
2024-02-01,19.9,22.0,17.6,71,18.1,51.6,-0.86,-0.48,0.51,chichijima,27.08,142.18
2024-02-01,9.9,13.3,6.9,168,7.8,69.8,1.29,-0.68,0.6,fukuoka,33.57,130.37
2024-02-01,19.8,22.7,17.8,49,17.5,114.5,-0.41,-1.1,0.38,naha,26.2,127.68
2024-03-01,19.5,22.3,17.2,194,19.1,142.8,-0.66,-0.76,0.61,naha,26.2,127.68
2024-03-01,9.6,14.8,5.1,189,9.4,116.0,1.17,-0.26,0.0,tokyo,35.69,139.75
2024-03-01,0.8,4.2,-2.7,68,1.1,77.6,0.89,-0.02,-0.29,sapporo,43.05,141.32
2024-03-01,19.6,22.0,16.9,25,19.3,75.8,-1.1,-0.33,0.42,chichijima,27.08,142.18
2024-03-01,11.5,15.2,8.6,140,10.8,103.7,1.91,0.22,0.74,fukuoka,33.57,130.37
2024-04-01,23.9,26.8,21.8,471,21.5,161.0,1.51,0.98,1.14,naha,26.2,127.68
2024-04-01,23.1,25.6,21.1,28,21.1,113.3,-1.15,-1.73,-0.32,chichijima,27.08,142.18
2024-04-01,10.4,15.7,6.5,35,7.3,54.6,-0.07,-0.03,-0.47,sapporo,43.05,141.32
2024-04-01,17.1,21.8,13.1,116,14.3,133.7,0.98,-0.11,0.1,tokyo,35.69,139.75
2024-04-01,17.6,21.5,14.5,172,15.4,118.2,2.01,1.2,0.69,fukuoka,33.57,130.37
2024-05-01,20.2,24.4,16.3,120,19.9,133.7,0.62,1.1,0.37,fukuoka,33.57,130.37
2024-05-01,14.2,19.1,9.8,40,13.0,55.5,-1.09,-0.44,-0.36,sapporo,43.05,141.32
2024-05-01,24.7,27.4,22.6,475,24.2,245.3,2.18,1.79,1.81,naha,26.2,127.68
2024-05-01,25.0,27.6,23.2,14,23.4,151.9,-2.77,-2.69,-1.08,chichijima,27.08,142.18
2024-05-01,20.0,24.8,15.6,202,18.8,139.7,1.24,0.79,0.27,tokyo,35.69,139.75
2024-06-01,27.1,29.4,25.0,156,26.2,111.8,-1.17,-1.6,-0.91,chichijima,27.08,142.18
2024-06-01,23.9,27.7,20.9,235,23.3,249.6,0.1,0.68,0.53,fukuoka,33.57,130.37
2024-06-01,26.9,29.5,24.9,764,27.2,284.4,2.85,2.32,2.51,naha,26.2,127.68
2024-06-01,23.1,27.7,19.3,350,21.9,167.8,1.67,1.87,0.26,tokyo,35.69,139.75
2024-06-01,19.0,23.9,15.1,38,17.0,60.4,-1.37,-0.08,-0.98,sapporo,43.05,141.32
2024-07-01,28.7,33.5,25.0,207,25.7,156.2,2.02,2.08,0.85,tokyo,35.69,139.75
2024-07-01,29.2,32.8,26.7,21,27.7,79.5,-1.0,-1.72,-0.92,chichijima,27.08,142.18
2024-07-01,23.3,28.0,20.1,144,21.1,90.7,0.4,0.16,-0.44,sapporo,43.05,141.32
2024-07-01,29.9,33.8,27.1,195,27.4,299.1,-0.47,0.24,-0.5,fukuoka,33.57,130.37
2024-07-01,30.5,33.9,28.2,98,29.1,188.1,2.0,2.3,2.47,naha,26.2,127.68
2024-08-01,30.2,32.8,28.2,110,29.0,240.0,1.01,2.04,1.34,naha,26.2,127.68
2024-08-01,28.6,31.1,26.6,185,28.0,123.3,0.43,-1.21,-1.26,chichijima,27.08,142.18
2024-08-01,24.6,28.4,21.7,103,22.3,126.8,0.18,-0.34,-0.19,sapporo,43.05,141.32
2024-08-01,30.5,34.8,27.7,225,28.4,210.0,-0.15,0.04,-0.3,fukuoka,33.57,130.37
2024-08-01,29.0,33.6,25.7,381,26.9,154.7,2.42,2.53,1.58,tokyo,35.69,139.75
2024-09-01,26.6,30.9,23.5,112,23.3,224.9,1.08,1.89,1.23,tokyo,35.69,139.75
2024-09-01,28.8,31.7,26.5,296,27.9,275.2,-0.45,2.0,1.39,naha,26.2,127.68
2024-09-01,28.1,30.6,26.2,138,27.7,144.2,0.2,-0.72,-0.82,chichijima,27.08,142.18
2024-09-01,19.9,24.5,15.7,75,18.6,142.2,-0.17,-0.74,-0.62,sapporo,43.05,141.32
2024-09-01,28.8,33.3,25.3,116,24.7,175.1,-0.35,-0.3,-0.24,fukuoka,33.57,130.37
2024-10-01,22.0,25.7,18.7,140,19.6,94.5,0.21,-0.28,0.1,fukuoka,33.57,130.37
2024-10-01,13.8,18.3,9.0,160,12.1,109.9,-0.35,-0.16,-0.2,sapporo,43.05,141.32
2024-10-01,20.6,24.5,17.4,175,18.0,234.8,0.64,1.88,1.5,tokyo,35.69,139.75
2024-10-01,27.6,30.3,25.5,339,25.5,179.2,0.51,1.71,1.8,naha,26.2,127.68
2024-10-01,27.8,30.1,25.7,84,26.4,141.7,0.23,-0.55,-1.5,chichijima,27.08,142.18
2024-11-01,6.0,9.6,2.0,134,5.2,113.8,0.2,0.19,-0.14,sapporo,43.05,141.32
2024-11-01,13.7,17.8,10.2,82,12.5,96.3,-0.74,1.56,1.67,tokyo,35.69,139.75
2024-11-01,23.9,26.2,22.3,209,22.5,119.1,1.43,1.56,2.07,naha,26.2,127.68
2024-11-01,25.1,27.3,23.0,144,23.8,136.1,-0.23,0.07,-1.45,chichijima,27.08,142.18
2024-11-01,15.7,19.2,12.8,353,14.2,91.4,1.85,0.61,0.88,fukuoka,33.57,130.37
2024-12-01,18.6,21.2,16.5,24,19.0,110.0,0.94,0.15,1.76,naha,26.2,127.68
2024-12-01,20.1,22.5,17.4,146,20.6,103.3,-0.01,0.03,-0.99,chichijima,27.08,142.18
2024-12-01,8.1,13.2,3.8,0,7.7,57.9,-0.49,0.58,1.6,tokyo,35.69,139.75
2024-12-01,-1.9,0.7,-4.6,55,-0.9,114.5,0.38,-0.01,-0.1,sapporo,43.05,141.32
2024-12-01,9.1,12.3,6.0,30,9.1,67.5,2.61,0.65,0.85,fukuoka,33.57,130.37
2025-01-01,16.8,19.4,14.5,96,17.3,101.6,-0.02,0.38,1.96,naha,26.2,127.68
2025-01-01,6.6,11.6,2.6,26,5.4,59.7,-1.25,0.16,1.49,tokyo,35.69,139.75
2025-01-01,18.2,20.4,15.5,111,18.5,63.6,0.71,0.57,-0.6,chichijima,27.08,142.18
2025-01-01,-1.2,1.5,-3.8,69,-3.2,108.4,-1.04,-0.87,-0.67,sapporo,43.05,141.32
2025-01-01,6.8,10.4,3.8,35,6.9,74.4,2.36,1.05,0.76,fukuoka,33.57,130.37
2025-02-01,17.3,19.8,14.3,61,18.1,51.6,0.83,0.27,-0.64,chichijima,27.08,142.18
2025-02-01,16.0,18.6,13.9,76,17.5,114.5,-1.23,0.88,2.15,naha,26.2,127.68
2025-02-01,5.7,9.3,2.6,36,7.8,69.8,-2.16,1.0,0.42,fukuoka,33.57,130.37
2025-02-01,6.5,12.0,1.9,7,6.1,56.5,-2.79,-1.48,1.27,tokyo,35.69,139.75
2025-02-01,-0.9,2.4,-4.4,118,-2.7,91.9,-1.01,-0.48,-0.7,sapporo,43.05,141.32
2025-03-01,11.9,16.2,8.2,124,10.8,103.7,-0.84,1.97,0.38,fukuoka,33.57,130.37
2025-03-01,19.3,22.2,16.7,39,19.3,75.8,0.21,0.07,-0.54,chichijima,27.08,142.18
2025-03-01,2.0,5.3,-1.3,95,1.1,77.6,0.1,0.28,-0.5,sapporo,43.05,141.32
2025-03-01,19.4,22.3,17.3,88,19.1,142.8,-0.91,0.29,1.92,naha,26.2,127.68
2025-03-01,10.7,16.0,6.2,153,9.4,116.0,-0.52,-0.71,1.17,tokyo,35.69,139.75
2025-04-01,20.6,23.4,18.0,199,21.1,113.3,0.74,0.89,0.07,chichijima,27.08,142.18
2025-04-01,16.2,20.9,12.1,37,15.4,118.2,-1.5,0.84,0.0,fukuoka,33.57,130.37
2025-04-01,15.6,20.7,11.2,155,14.3,133.7,0.25,-0.67,1.28,tokyo,35.69,139.75
2025-04-01,8.5,13.0,5.2,110,7.3,54.6,1.39,0.31,-0.01,sapporo,43.05,141.32
2025-04-01,20.5,23.6,17.7,172,21.5,161.0,-0.49,-0.41,1.4,naha,26.2,127.68
