fault_latitude,fault_longitude,earthquake_count,average_magnitude,avg_time_between_eq_days
44.10643813,145.17062795975,3,4.666666666666667,0.005927813
43.83968871,145.0728073,4,4.8,244.94993836033947
43.91590583,144.81456408715002,6,4.983333333333333,146.9699541898148
43.64131401,144.9033007,6,4.983333333333333,146.9699541898148
43.57044807,144.72388141980002,9,4.922222222222222,91.85622136863427
43.93620647,144.19985262985,0,,
43.019103138999995,143.3855373,17,4.7823529411764705,85.2393301707176
42.73130696,143.24109995165,39,4.807692307692307,45.70284053362573
42.95900513,143.215285,14,4.814285714285715,104.90994482549856
42.40808345,143.2443347,56,4.910714285714286,33.670292095959596
44.96423117,142.07161300594998,4,4.575,338.70254645061726
43.32946745088605,142.401223027765,1,4.5,
43.28333035644765,142.4124388683555,2,4.55,0.0011175578703703703
43.17134492,142.40057132139998,2,4.55,0.0011175578703703703
43.66890478,142.16325676905,0,,
42.215093111499996,142.65927035675,87,4.826436781609195,21.61671700581395
45.30356912,141.87081537635,2,4.65,838.9319504861111
43.597152953549994,141.771328,1,5.8,
43.350342301050006,141.57898140575,1,4.5,
43.03041891,141.84034180965,35,4.837142857142856,43.40292799428104
42.78492906809565,141.752993604663,28,4.875,54.655538955761315
42.649549265649995,141.9486032,41,4.824390243902439,40.04246037037037
42.570357013055755,140.353901666541,1,4.5,
42.540777139599996,140.39773443075,0,,
41.810199776597145,140.6292866580235,6,4.883333333333333,146.8060951550926
40.7823443,141.0869912,8,4.699999999999999,212.3308962301587
40.90483475,140.61922676555,1,4.6,
40.76427503,140.71601051355,0,,
40.83817943,140.49551498095002,1,4.6,
40.67961806,140.615376,1,5,
40.728674544499995,140.5773449,0,,
40.239250222950005,141.3750433,13,4.976923076923077,75.14227930459104
40.16912757,140.8240275,5,4.6,339.6982289265046
40.20003414,140.02604886494998,2,4.85,0.019179583333333333
39.74243207,141.07146443385,6,4.8500000000000005,282.8379098148148
39.49013859,141.01482961775,27,4.859259259259259,54.39190573361824
39.17681742,141.02168939365,33,4.887878787878789,29.909305272714118
39.754462683650004,140.93876444165,5,4.94,353.54738726851855
39.71191763,140.7248771,7,4.857142857142857,251.78687314814815
39.51828743,140.61190664359998,11,4.745454545454546,151.0721238888889
39.333212825749996,140.57976947435,14,4.800000000000002,116.20932606837607
39.22684459,140.55394475370002,18,4.788888888888889,88.86595522875818
39.51082548,140.77468436790002,11,5.009090909090909,174.27351972222226
39.342034235300005,140.67219949185,33,4.872727272727272,47.210038715277776
39.917376345600005,140.19377256145,8,4.637499999999999,114.40742235449736
39.50928801,140.18571006935,8,4.7375,215.8173198412698
39.39312079,140.15695000715,5,4.8,275.00890955150464
39.5393120737061,140.006754901726,4,4.675,122.00255076774691
39.25502646,140.36523106595,9,4.733333333333333,188.8401548611111
38.740384364773504,140.32739780815552,8,4.612500000000001,116.86330263558202
39.24025933,140.01135365074998,2,5.3,734.0191534953705
39.21983717,140.0434928,2,5.3,734.0191534953705
38.82462329,140.2730224,5,4.88,204.5083835127315
38.781584845850006,140.221969,4,4.975,272.677844683642
38.77142842,140.18363332905,3,5.133333333333334,367.0076517303241
39.19766831,139.94136691699998,2,5.3,734.0191534953705
38.90618223,139.94640535315,3,5.266666666666667,367.00957674768523
38.28745077,140.9360035,14,4.885714285714286,111.5869445610755
38.12346543,140.71831150230003,9,5.022222222222222,112.7133396021412
37.94103142,140.54053132955,4,4.925,300.56890560570986
37.76734972,140.3910472,5,4.76,199.99478333333334
37.5931329,140.34079741099998,2,4.65,799.9955870949074
38.5277573,140.30055902365,7,4.585714285714286,136.34051974151234
38.30869377,140.26398095265,4,4.925,244.6588320717593
38.16945793,140.314646,6,4.766666666666667,159.99929961574074
38.30583711,140.1422522,7,4.9,122.33107113618829
38.11493091,140.03997394505,10,4.68,81.5549916859568
37.95058389,140.07139068474999,8,4.725,104.85520383101851
37.92787025,140.04415759095002,7,4.7,22.838327278163582
37.99029801,139.47706889785002,2,4.65,0.01501505787037037
38.04779558,139.43291420405,1,4.5,
37.9864719,139.45733028905,3,4.6000000000000005,0.007507528935185185
38.1988536,138.3549885,1,4.7,
37.92512591,140.8577866,6,4.8,212.1963012291667
37.75629737,140.87444,14,4.8428571428571425,81.61240304309116
37.41879107,140.92416299029998,151,4.884768211920529,11.986999399382716
37.40175625,140.8606448,65,4.88,25.923642042824074
37.513047600350006,140.14508891785,8,4.7124999999999995,104.8644394973545
37.62903841,139.8323454,10,4.66,15.228486143261318
37.60682234,139.7738155,7,4.614285714285715,22.83839930169753
37.47666199,139.7953594,6,4.8,146.80748193055555
37.83033688,139.28889852045,1,4.5,
37.803766915249994,139.25061906324999,0,,
37.687656881500004,139.19512302344998,3,4.666666666666667,367.01960164930557
37.72325871,139.32029048565,1,4.5,
37.84451265,138.83376142365,8,4.9375,128.8118854811508
37.52920333,138.79496403055,40,5.1075,26.93587040657645
37.38358391,138.7826673,42,5.085714285714285,25.621925508694673
37.45792878,138.89299597855,40,5.1,26.93587040657644
37.49433047,138.7061048,45,5.137777777777777,35.69491092618898
37.97687477,138.3783736,2,4.65,0.007219074074074074
36.955966749699996,140.7013267,178,4.7662921348314615,10.353808461498222
35.665127355799996,140.04558581880002,130,4.788461538461538,13.067751672408841
35.13610627,139.98496607615,36,4.73888888888889,44.11579763227513
35.079207131299995,139.9623494,24,4.770833333333333,67.1327355273752
36.98248949,139.8957251,9,4.7,179.08014717158565
36.36091028,138.920254,7,4.642857142857143,233.4447092631173
36.2330933,139.1658031,17,4.723529411764706,87.54255799262152
36.011304498399994,139.55594441785001,76,4.782894736842104,22.399021176388892
36.18414467025001,139.15615280075002,12,4.641666666666667,127.33347777988214
35.90199538,139.572587,70,4.769999999999999,24.34676214824879
35.94597287,139.28749778175,10,4.77,141.5392334246399
35.76594768,139.31335004875,32,4.75625,44.44430954637097
35.64525969,139.0799203,24,4.7625,59.903152300221414
35.61997873,138.98992598105,12,4.775,125.2520457186448
35.41954898,139.29246889270001,5,4.58,129.16943938368055
35.52180417,139.24241625690001,12,4.716666666666668,125.2520457186448
35.39783346,139.0669193,13,4.653846153846154,114.81437524209105
35.37449415,139.09915609175,13,4.653846153846154,114.81437524209105
35.23242928,139.23041408445,19,4.8052631578947365,81.53908695987654
35.365461759149994,139.2034378,11,4.581818181818182,137.77725029050927
35.24475188,139.64092358214998,12,4.758333333333334,110.45245935921717
35.22901823,139.6528564,8,4.7625,173.56815042162697
35.22103076,139.63907591885,6,4.8,146.9706703
35.09290913,139.00447014885,10,4.82,136.98975680298355
34.980756416350005,138.97199818605,9,4.855555555555556,154.11347640335651
34.927415520699995,139.01512455565,11,4.809090909090909,132.28494101851854
34.86151636,138.93481536445,4,5.275,166.30166848765433
37.11735303,138.6630396,61,5.022950819672132,28.446207183641974
37.003166409399995,138.50106202655002,37,4.962162162162163,47.41034530606996
36.99666963,138.4060761,25,4.948,57.66006900559413
36.928571480849996,138.34857846609998,19,4.968421052631579,76.88009200745886
36.85287303,138.24635603485,18,4.8,59.23509470179737
37.15421417,138.77132802435,53,5.020754716981132,32.82254675035613
36.909090082649996,138.437112,23,4.91304347826087,62.90189346064815
36.72242248,138.2419567,28,4.892857142857143,51.25269765860769
36.762062202799996,138.04365201119998,13,4.923076923076923,114.21423909915124
36.107425570100006,138.21771143209997,4,4.8,409.7407910493828
36.5816209,137.90526035739998,14,4.835714285714286,105.4293380519943
36.72009829,137.84207241125,10,4.879999999999999,140.8325707304527
36.6152003,137.8183642,13,4.892307692307691,114.21511622299381
36.1700483329096,138.0279301332885,7,4.8,204.8703955246914
36.260555063300004,137.9688661,2,4.9,1209.0328028240742
36.166471885600004,137.9695082,3,4.833333333333333,614.6111865740742
35.976063555850004,138.17768056095002,3,4.7,10.094785162037036
35.774580267900006,138.32086249515,0,,
35.63254478,138.33376987100002,0,,
35.72313886,138.3877237,0,,
35.6103837,138.44640502295,0,,
35.63893673,138.63071454775002,8,4.675000000000001,196.82142855820103
35.750878788150004,138.79576748965002,9,4.655555555555556,172.22156286313657
35.69541798,138.05623787870002,3,4.7,10.094785162037036
35.39206997,137.97459204199998,1,4.7,
35.147932972700005,137.76698753565,6,4.716666666666666,292.19821434953707
34.933005954349994,138.86210983625,4,5.325,300.56537139274695
35.17366418,138.58269053655,3,5.466666666666666,346.3630982349537
35.22069108,138.61089133964998,5,5.32,191.17204885127316
36.80346919,137.45791241939997,5,4.88,48.242144288194446
36.78452665,137.68132497800002,10,4.95,152.2873173906893
37.25925646,137.06376518140002,6,4.583333333333333,35.30476057175926
36.71466508765215,137.224529254912,3,4.933333333333334,96.47339998842594
36.36943611,137.81721102595,14,4.892857142857143,113.28684298433049
36.369529229099996,137.76364722929998,14,4.935714285714286,113.28684298433049
36.01549359,137.88717276475,9,4.7555555555555555,144.64686493055555
36.62627293,137.52432711845,5,4.98,48.24056857638889
36.57812894,137.5609348,6,4.916666666666667,38.592454861111115
36.485028492400005,137.396292,10,4.819999999999999,111.53866158050411
36.4026135,137.23690569375,15,4.846666666666666,71.70342530175265
36.069005420349995,137.6910598,13,4.830769230769231,109.2662693287037
35.892087507650004,137.83961468675,5,4.76,268.8005151620371
36.07073227,137.23773191729998,11,4.745454545454545,112.2780926388889
35.990978552200005,137.16260753404998,10,4.79,124.75343626543209
36.046236185699996,137.2620587,9,4.722222222222222,140.3476157986111
36.01886491,137.28494575865,9,4.722222222222222,140.3476157986111
36.02394275,137.34142861975,8,4.75,160.39727519841273
36.0436463857871,137.5082425385645,12,4.766666666666667,102.07099330808079
36.00416822377065,137.34999054237352,9,4.777777777777778,140.3476157986111
36.416541136700005,137.12902065755,13,4.838461538461538,69.68293154128087
36.39595875,137.1393371,5,4.779999999999999,52.24185924479166
36.31331024,137.2159725,7,4.814285714285715,34.82790616319444
36.23324483,137.0907816,6,4.883333333333333,146.80819892824073
36.20411791,137.11968869535002,5,4.779999999999999,52.24185924479166
36.14877569,137.1153612,5,4.82,183.51024866030093
36.1623407,137.1581989,5,4.720000000000001,52.24185924479166
36.110980636549996,137.1389156,6,4.833333333333333,146.80819892824073
36.41378662,136.8197321,3,4.833333333333333,367.0147646527777
36.219687574299996,136.89910303625,3,4.833333333333333,367.02049732060186
36.03974383,136.9794313,4,4.75,244.6803315470679
36.2061714,136.94953460825002,3,4.833333333333333,367.02049732060186
35.90696325,137.9550786,3,4.7,537.6010303240741
35.77354098437905,137.950247387538,3,4.7,537.6010303240741
35.62866462,137.85995097335,4,4.775,358.400686882716
35.45057606,137.746697,2,4.6,1055.0130981944444
35.42578983,137.72463187969998,2,4.6,1055.0130981944444
35.58998242,137.81585229249998,3,4.8,527.5154708564814
35.44279271,137.8165588,1,4.7,
35.36229195,137.76019869365,2,4.6,1055.0130981944444
35.27747515,137.76259565145,2,4.65,1460.9692324537036
35.516437062150004,137.68785614595,4,4.725,351.67698057098767
35.431551072649995,137.6409314,2,4.6,1055.0130981944444
35.80739078,137.68526686465,5,4.720000000000001,268.8005151620371
35.74347294,137.6002402,5,4.720000000000001,268.8005151620371
35.84225222,137.7613614,7,4.742857142857143,179.20034344135803
35.68488262,137.63889954755,5,4.720000000000001,268.8005151620371
35.7298284,137.71489524315,5,4.720000000000001,268.8005151620371
35.628611391449994,137.65259699749998,4,4.725,351.67698057098767
35.55772899,137.59310284190002,4,4.725,351.67698057098767
35.90817026,137.21080496185,5,4.7,52.24005144386574
35.790727009950004,137.3013425,5,4.76,255.15923716435188
35.812694026550005,137.20280328085,6,4.783333333333332,204.1273897314815
35.61844905,137.4741374,6,4.75,211.00618834259257
35.60853604,137.52784610665,4,4.725,351.67698057098767
35.44941037,137.53897404179997,2,4.6,1055.0130981944444
35.42272812,137.54642401605003,2,4.6,1055.0130981944444
35.3729462,137.55239041750002,1,4.5,
35.36290968,137.40434422185,4,4.699999999999999,351.6710327314815
35.289559103900004,137.2691578,6,4.733333333333333,292.1983531527777
35.846157432249996,137.33227468135,5,4.84,255.15923716435188
35.76774954,137.41685226405,4,4.725,351.67698057098767
35.71884102,137.23187225779998,2,4.5,0.01784351851851852
35.66252455217675,137.2504115219255,4,4.75,340.2138794830247
35.711834951949996,137.25713981535,3,4.733333333333333,510.31847432870376
35.66968153,137.2071418,1,4.5,
35.636080507627895,137.269421475684,4,4.75,340.2138794830247
35.58571054,137.10220855855,1,4.8,
35.58552456,137.32332577125,6,4.766666666666667,204.1283276898148
35.5957997,137.39609504775,6,4.75,211.00618834259257
35.41775268,137.40264123345003,5,4.72,263.75890787615737
35.41775268,137.40264123345003,5,4.72,263.75890787615737
35.40768332,137.4488821,2,4.8,137.00641207175926
35.372267276100004,137.35832716085,3,4.7,68.50320603587963
35.279592417450004,137.84230668765,2,4.65,1460.9692324537036
35.31196047,137.71233271609998,1,4.5,
35.24143436,137.16502564955,7,4.728571428571428,243.49862762731482
35.12426501,137.09069591525,10,4.719999999999999,148.67233739969137
34.97964711,136.97456418995,7,4.714285714285714,223.0066541435185
34.852664472149996,137.117715,3,4.633333333333333,669.0199624305554
34.77462802,137.18172531495,4,4.574999999999999,446.01522032407416
36.9775915,136.87461779615,9,4.655555555555555,91.75148287037037
36.93707021,136.87382795265,11,4.672727272727273,73.40144472222222
36.75035043,136.7546619,3,4.566666666666666,0.006441186342592591
36.69144165,136.8881003,2,4.55,0.012330891203703703
36.57662568,136.8565016,2,4.55,0.012330891203703703
36.541876418499996,136.6856606,3,4.566666666666666,0.011581857638888887
36.56006471,136.95973908215,3,4.566666666666666,0.006165445601851852
36.42041588,136.93960727220002,3,4.833333333333333,367.02049732060186
36.221954829058646,136.284611724884,2,4.699999999999999,0.02029449074074074
36.15470222084156,136.21422334264201,2,4.699999999999999,0.02029449074074074
36.05115166,136.112617,1,4.8,
35.961103740300004,136.09906697165002,1,4.8,
35.846043988299996,136.8935976,2,4.95,734.0295293055556
35.84763765,136.90694589654998,2,4.95,734.0295293055556
35.91529117,136.51421744655,2,5.1,734.0319361805556
35.8361567,136.44956308405,3,5.033333333333333,367.0159680902778
35.73727394,136.60690186835,1,4.8,
35.63123662,136.62796842494998,5,4.779999999999999,183.50976583043982
35.69152402,136.5996942,1,4.8,
35.58621066,136.68335720635,2,4.699999999999999,192.96716334490742
35.52316945,136.7878004,6,4.75,180.34075071064814
35.47162726,136.8046708,5,4.680000000000001,225.4259383883102
35.592383520300004,136.7269217,5,4.7,48.24270706597222
35.53482766,136.6056379,3,4.766666666666667,367.01769920138895
35.43162525,136.5550331,4,4.75,300.56669621141975
35.35689738,136.47517880430001,3,4.766666666666667,367.01769920138895
35.154422656899996,136.5643798,6,4.783333333333334,180.34022004398145
34.91056934,136.57980008714998,5,4.74,225.4237286226852
35.11077744,136.6170402,5,4.720000000000001,225.4250221585648
34.775402688507754,136.5615833651415,6,4.8500000000000005,165.01356913657406
34.618116771299995,136.48416814504998,7,4.871428571428572,150.28401953510803
35.7830191,136.31722320695002,2,4.85,734.0151089467593
35.747170325599996,136.32113467515,2,4.85,734.0151089467593
35.709964283299996,136.4721462,2,4.85,734.0151089467593
35.9317097528657,136.060070845549,4,4.800000000000001,244.67907045138892
35.6860635600477,136.159297382974,2,4.85,734.0151089467593
35.528915116549996,136.22585500425,2,4.85,734.0151089467593
35.46303685232765,136.318300282687,1,4.9,
35.39397119,136.37417332665,1,4.9,
36.18102045609195,135.97935639410503,0,,
35.6408384,136.2319304,2,4.85,734.0151089467593
35.57011212,136.1318318,4,4.699999999999999,244.67907045138892
35.636435324100006,136.0833587,4,4.699999999999999,244.67907045138892
35.537872082549995,136.0173801,4,4.75,244.67907045138892
35.55139396,136.0768518,3,4.666666666666667,367.01860567708337
35.52151316,136.08813940584997,3,4.666666666666667,367.01860567708337
35.70650857723635,135.921912958749,6,4.733333333333333,201.40271192592596
35.8504404243604,135.825743467294,2,4.699999999999999,1006.9945974421296
35.41145988,136.0287716,3,4.666666666666667,367.01860567708337
35.13689647,135.99132355255,6,4.933333333333334,291.6699778634259
35.136876216450005,136.91615322155002,10,4.719999999999999,148.67233739969137
34.96311548,136.9108511,6,4.6499999999999995,267.60798497222225
34.79908109,136.8985663,10,4.76,148.6717401080247
35.1392284,136.56348539015,5,4.720000000000001,225.4250221585648
